,juv.shark,adu.shark,juv.r.drum,adu.r.drum,juv.seatrout,adu.seatrout,juv.b.drum,adu.b.drum,juv.catfish,adu.catfish,juv.croaker.spot.perch,adu.croaker.spot.perch,juv.sheepshead,adu.sheepshead,juv.flounder,adu.flounder,juv.pinfish,adu.pinfish,juv.menhaden,adu.menhaden,juv.mullet,adu.mullet,anchovy.silverside,gar,stingray,diving birds,pelicans,marsh.birds,dolphins,killifishes,juv.panaeids,adu.panaeids,juv.blue.crab,adu.blue.crab,carn.insects,grass.shrimp,other.crabs,herb.insects,zooplankton,oyster spat,seed oyster,sack oyster,oyster drill,mollusks,benthic.inverts,marsh.plants,SAV,benthic.microalgae,phytoplankton
juv.shark,0,0.252594755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.r.drum,0.120845095,0.033369062,0,0.021097038,0,0.113071446,0,0,0,0,0,0.001815663,0,0.069718934,0,0,0,0,0,0,0,0,0,0,0.005130397,0.019908421,0.005079983,0,0.008547862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.r.drum,0,0.005057358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.seatrout,1.01E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896537,0.049633685,0.01,0,0.001067018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.seatrout,1.01E-05,1.02E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017678256,0,0.03,0.075659317,0,0.00198964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.b.drum,0.08056337,0.008089469,0,0.011603377,0,0.001116888,0,0,0,0,0,0.000907831,0,0.04041677,0,0,0,0,0,0,0,0,0,0,0.005130397,0.009954211,0.015079983,0,0.008413023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.b.drum,0,0.000101128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.catfish,0.005035054,0.001011472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011785504,0.005130397,0.000497711,0,0,0.007849287,0,0,0,0,0.0001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.catfish,0.010070106,0.03034415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116069534,0,0,0.005079983,0,0.028492871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.croaker.spot.perch,0.123861871,0.01122734,0,0.002215194,0,0.022352434,0,0,0,0.013131313,0,0.000907823,0,0.070852568,0,0,0,0,0,0,0,0,0,0.021785504,0.050235144,0.054258411,0.025211845,0,0.140883136,,0,0,0,0.011028168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.croaker.spot.perch,0.172197661,0.217581141,0,0.001054855,0,0.009543067,0,0,0,0.004040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034732357,0,0.04,0.172399481,0,0.510255265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.sheepshead,0.080557398,0,0,0.001054855,0,0.00938158,0,0,0,0,0,0,0,0.000101064,0,0,0,0,0,0,0,0,0,0,0.032064985,0.079633685,0,0,0.007123218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.sheepshead,0,0.000101148,0,0.000949367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008927519,0,0,0.005639862,0,0.000512658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.flounder,0.005035033,0.000101148,0,0,0,0,0,0,0,0,0,0,0,0.001011452,0,0,0,0,0,0,0,0,0,0.011785504,0.009940145,0.000995421,0,0,0,0,0,0,0,8.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.flounder,0,0.000202294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.pinfish,1.01E-05,0.00E+00,0,0,0,8.97E-06,0,0,0,0,0,0,0,0.000101064,0,0,0,0,0,0,0,0,0,0,0.009940145,0.029862632,0,0,0.066050159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.pinfish,0,0.000101128,0,0,0,8.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023571008,0,0,0.063488975,0,0.020002892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.menhaden,0.041007007,0.001011472,0,0.007383963,0,0.037526319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.002565199,0.049771053,0.054042369,0,0,0,0,0,0,0.001002175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.menhaden,0.050700668,0.001011472,0,0.042194065,0,0.065671058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129281084,0.002565199,0.159084213,0.1204,0,0.072113461,0,0,0,0,0.001002175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.mullet,0.101716397,0.02832223,0,0.016877502,0,0.039638129,0,0,0,0,0,0,0,0.01010643,0,0.23,0,0,0,0,0,0,0,0.05,0.005130397,0.029908421,0.087552962,0,0.077278793,0,0,0,0,0.002003368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.mullet,0.050350334,0.177007552,0,0.039029223,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.035356511,0,0,0.182127108,0,0.036587045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchovy.silverside,0.085595376,0.02022763,0,0.169831164,0,0.161949217,0,0,0,0.112121212,0,0.071718023,0,0.058664208,0,0.3,0,0,0,0,0,0,0,0.068927519,0.037195383,0.253855266,0.096616948,0,0.011273931,0,0,0,0.06,0.012029994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stingray,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diving.birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelicans,0,0.015167752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marsh.birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dolphins,0,0.126297428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
killifishes,0.010070068,0,0,0.033755362,0,0.069260332,0,0,0,0.001010101,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.005,0.046755296,0.4,0,0.090744102,0,0,0.01,0.001001842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.panaeids,0,0,0.002000282,0.021097034,0.007473564,0.001794448,0,0,0,0,0.001320166,0.000380997,0,0.020209203,0,0,0.02020202,0.02020202,0,0,0.0002,0,0.000276938,0,0.010688328,0,0.006755296,0.025,0,0,0,0,0.01,0.00200435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.panaeids,0,0,0,0.210970337,0,0.045887635,0,0,0,0.04040404,0,0,0,0.020209203,0,0,0,0,0,0,0,0,0,0.005892752,0.052753314,0.004280311,0.023510592,0.025,0.001424644,0,0,0,0,0.011023925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.blue.crab,0.010070068,0,0.002000282,0.009493693,0.002242069,0,0.000999962,0.012,0,0.070707071,0.000660083,0.00109831,0,0.101145207,0,0,0.01010101,0.01010101,0,0,0.009996318,0,0.000138469,0.068927519,0.010688328,0.009954211,0,0.04,0,0,0,0,0,0.001002175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.blue.crab,0,0.050857003,0,0.263713739,0,0,0,0.01,0,0.151515152,0,0,0,0.252653826,0,0,0,0,0,0,0,0,0,0.280710077,0.06412997,0.009954211,0,0.04,0,0,0,0,0,0.001002175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carn.insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005589275,0,0.009954211,0,0.01,0,0.000907441,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass.shrimp,0,0,0.002000282,0,0.007473564,0.00938158,0,0,0,0,0.004263448,0.00119831,0.01,0.005052303,0.02601339,0,0.01010101,0.01010101,0,0,0.07797128,0,0.004560651,0.005892752,0.266519881,0.004180768,0,0.05,0,0.045372051,0,0,0.05,0.010018436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other.crabs,0,0,0,0,0,0.046907898,0.112,0.2,0.2,0.151515152,0,0.105252632,0,0.062660434,0,0,0.050505051,0.01010101,0,0,0.0699994,0,0.000138469,0.005892752,0.009940145,0,0,0.1,0,0.226860254,0,0,0.05,0.059128326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herb.insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589275,0,0.009954211,0,0.01,0,0.000907441,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zooplankton,0,0,0.2370334,0,0.895378761,0,0,0,0,0,0.65795548,0.11515459,0.7,0,0.6341442,0,0.060606061,0.01010101,1,0.02,0.1999664,0,0.371003932,0.000589275,0,0,0,0,0,0.045372051,0.05,0.12,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0
oyster spat,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,5.00E-05,0,0,0,0,0,0
seed oyster,0,0,0,0,0,0,1.00E-05,0.005,0,0,0,0,0,0.000101062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499975,0,0,0,0,0,0
sack oyster,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039998,0,0,0,0,0,0
oyster drill,0,0,0,0,0,0,0.009999785,0.03,0,0,0,0.045391458,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.036297641,0,0,0,0.210353634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mollusks,0,0,0,0,0,0,0.2019978,0.3,0,0,0.036033649,0.196215329,0,0.102072079,0,0,0,0,0,0,0,0,0.00905272,0.011785504,0.320649851,0.099542106,0,0.1,0,0.099818512,0,0,0.09,0.03006026,0,0,0,0,0,0,0,0,0.1499925,0,0,0,0,0,0
benthic.inverts,0,0,0.1000141,0,0.003736782,0.046907898,0,0.1,0.1,0.03030303,0.036693733,0.037420678,0.01,0.005052303,0.010002274,0,0.101010101,0.04040404,0,0,0.3398895,0,0.255112333,0,0.085506627,0.039816843,0,0.1,0,0.090744102,0,0.04,0.05,0.010018436,0,0.05,0,0,0,0,0,0,0,0,0.025,0,0,0,0
marsh.plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAV,0,0,0,0,0,0,0,0,0.01,0.01010101,0,0,0,0,0,0,0.353535354,0.404040404,0,0.07,0,0.15,0.036307217,0,0,0,0,0,0,0.045372051,0.15,0.1,0.3,0.023060523,0,0.1,0.099995,0,0.05,0,0,0,0,0,0.05,0,0,0,0
benthic.microalgae,0,0,0,0,0,0,0,0,0.01,0.01010101,0.018016825,0.014221464,0,0.010114521,0,0,0.090909091,0.090909091,0,0,0,0.35,0.011788491,0,0.000748183,0,0,0,0,0.045372051,0.15,0.1,0.01,0.050131576,0,0.55,0,0,0.05,0,0,0,0.0099995,0,0.2,0,0,0,0
phytoplankton,0,0,0,0,0,0,0,0,0,0,0.075448353,0,0.01,0,0,0,0,0,0,0.8,0.04998159,0.05,0.010348108,0,0,0,0,0,0,0,0.15,0.1,0,0,0,0,0,0,0.85,0.8,0.7,0.7,0,0.8,0.025,0,0,0,0
detritus,0.042294283,0,0.6569516,0.147679234,0.08369526,0.309592127,0.6749825,0.333,0.68,0.405050505,0.169608262,0.408316894,0.26,0.16975737,0.3298401,0.1,0.303030303,0.404040404,0,0.11,0.2519956,0.45,0.301272671,0.068927519,0.004382215,0,0,0,0,0.272232305,0.5,0.54,0.37,0.563948101,0.25,0.3,0.899955,0,0.05,0.2,0.25,0.25,0.7499625,0.2,0.7,0,0,0,0
import,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
